year,result,school,program,full_or_part,scholarship,nationality,UGPA,graduate_gpa,GRE_Q,GRE_V,GRE_AWA,TOEFL,submitted,days_to_result,updated
2026,Waitlisted,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇺🇸,3.75,,,,,,,,7/24/25
2025,Enrolled,Columbia University,Masters in Financial Engineering,Full-Time,,🇺🇸,3.4,,,,,,,36,7/22/25
2025,Enrolled,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇮🇳,3.2,,170,158,3.5,,,20,7/19/25
2025,Rejected,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇳,3.2,,170,158,3.5,,,182,7/19/25
2025,Rejected,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇳,3.7,,,,,,,226,7/18/25
2026,Enrolled,University of Chicago,MS in Financial Mathematics Online,,"$34,000",🇻🇪,3.45,,,,,,,30,7/18/25
2025,Enrolled,New York University,MS in Mathematics in Finance,Full-Time,,🇨🇴,3.44,,,,,,,65,7/18/25
2025,Enrolled,Columbia University,Masters in Financial Engineering,Full-Time,,🇺🇸,4.0,3.5,167,,,,,223,7/16/25
2025,Rejected,Columbia University,Masters in Financial Engineering,Full-Time,,🇵🇰,3.20,,159,153,4.0,,,213,7/15/25
2025,Accepted,Columbia University,Masters in Financial Engineering,Full-Time,,🇺🇸,2.85,,170,160,3.5,,,183,7/14/25
2025,Rejected,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇳,3.89,,170,159,,113,,185,7/14/25
2025,Rejected,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇳,3.87,3.87,165,156,4.5,106,,185,7/14/25
2025,Accepted,Columbia University,Masters in Financial Engineering,Full-Time,,🇺🇸,3.81,,,,,,,180,7/14/25
2026,Accepted,"City St George’s, University of London, Bayes Business School",MSc in Financial Mathematics,Full-Time,"$9,007",🇨🇦,3.65,,,,,,,12,7/10/25
2026,Accepted,Imperial College Business School,MSc Risk Management & Financial Engineering,Full-Time,,🇨🇦,3.65,,,,,,,12,7/10/25
2025,Enrolled,Columbia University,Masters in Financial Engineering,Full-Time,,🇳🇴,3.8,3.8,,,,112,,115,7/5/25
2026,Accepted,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇮🇳,3.89,,170,159,,113,,167,6/26/25
2026,Accepted,Rutgers University,Master of Quantitative Finance,Full-Time,,🇺🇸,3.45,3.88,,,,,,9,6/24/25
2026,Accepted,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇭🇰,3.42,,,,,,,72,6/23/25
